1,Imagine,https://youtu.be/DVg2EJvvlF8,1
2,In the Year 2525,https://youtu.be/izQB2-Kmiic,2
3,Across the Universe,https://youtu.be/Tjq9LmSO1eI,1
4,Moondance,https://youtu.be/6lFxGBB4UG,3
5,Both Sides Now,https://youtu.be/rQOuxByR5VI,4
6,Sounds of Silence,https://youtu.be/qn0QBXMYXsM,5
7,Something,https://youtu.be/xLGe-QzCK4Q,1
9,Good Vibrations,https://youtu.be/d8rd53WuojE,7
10,Come Together,https://youtu.be/_HONxwhwmgU,1
11,Something,https://youtu.be/UKAp-jRUp2o,1
12,Maxwell's Silver Hammer,https://youtu.be/YQgsob_o1io,1
